"the_geom","STATION_ID","LONGNAME","LINES","ADDRESS","ADA","PKNRD","POINT_X","POINT_Y","LEGEND"
"POINT (-87.63063629512068 41.831190560189036)","190","Sox-35th-Dan Ryan","Red Line","142 W. 35th Street","true","false","1,175,756.53587033","1,881,859.32211346","Red Line"
"POINT (-87.61903578127783 41.81646322287744)","1270","43rd","Green Line","314 E. 43rd Street","true","false","1,178,962.66758531","1,876,518.81702049","Green Line"
"POINT (-87.64098421671696 41.875538904999026)","430","Clinton-Congress","Blue Line","426 S. Clinton Street","false","false","1,172,806.09209158","1,897,996.84712049","Blue Line"
"POINT (-87.66649606690225 41.90335508549131)","320","Division/Milwaukee","Blue Line","1200 N. Milwaukee Avenue","false","false","1,165,779.32370104","1,908,078.03624988","Blue Line"
"POINT (-87.62475307324942 41.73537121137496)","1430","87th","Red Line","15 W. 87th Street","true","false","1,177,647.63808009","1,846,956.57340895","Red Line"
"POINT (-87.6968897987879 41.92193917150245)","570","California/Milwaukee","Blue Line (O'Hare)","2211 N. California Avenue","false","false","1,157,455.12068528","1,914,787.23945613","Blue Line"
"POINT (-87.70432066571871 41.804348408754976)","1150","Kedzie-Midway","Orange Line","4900 S. Kedzie Avenue","true","true","1,155,746.78506769","1,871,922.53234421","Orange Line"
"POINT (-87.72540376831816 41.88541197969969)","30","Pulaski-Lake","Green Line (Lake)","4000 W. Lake Street","true","false","1,149,789.47306214","1,901,420.43035568","Green Line"
"POINT (-87.74469840019538 41.88651935351997)","480","Cicero-Lake","Green Line (Lake)","4800 W. Lake Street","true","false","1,144,532.74806525","1,901,787.32648402","Green Line"
"POINT (-87.72432672502005 41.85385683122457)","150","Pulaski-Douglas","Pink Line","2005 S. Pulaski Road","true","false","1,150,164.33155849","1,889,923.88301697","Pink Line"
"POINT (-87.65338048799256 41.93975074615252)","1320","Belmont-North Main","Red, Brown, Purple (Express)","945 W. Belmont Avenue","true","false","1,169,244.56018426","1,921,368.70147826","Multiple Lines"
"POINT (-87.644023127218 41.779027868120906)","940","Halsted/63rd","Green Line","6321 S. Halsted Street","true","false","1,172,260.63647507","1,862,821.97015973","Green Line"
"POINT (-87.75191862595247 42.03895069338699)","140","Dempster-Skokie","Yellow Line","5001 W. Dempster Street","true","true","1,142,189.79919907","1,957,320.43245574","Yellow Line"
"POINT (-87.62783518066094 41.88574041081893)","260","State/Lake","Brown, Orange, Pink,  Purple (Express), Green","200 N. State Street","false","false","1,176,356.59423889","1,901,743.42939598","Multiple Lines"
"POINT (-87.6840649867607 41.80468356005486)","310","Western-Midway","Orange Line","4901 S. Western Avenue","true","true","1,161,268.48644883","1,872,085.72671236","Orange Line"
"POINT (-87.64177130414286 41.88570342367616)","1160","Clinton-Lake","Green (Lake), Pink","540 W. Lake Street","true","false","1,172,561.88677935","1,901,699.06101194","Multiple Lines"
"POINT (-87.62929566463735 41.87818251886981)","70","Jackson/Dearborn","Blue Line","328 S. Dearborn","true","false","1,175,981.49715054","1,898,986.07233741","Blue Line"
"POINT (-87.62759609756428 41.87815275695708)","560","Jackson/State","Red Line","230 S. State","true","false","1,176,444.43423897","1,898,979.0284974","Red Line"
"POINT (-87.67597409605341 41.854514862029305)","210","Damen","Pink Line","2010 S. Damen Avenue","true","false","1,163,335.47601876","1,890,260.80487328","Pink Line"
"POINT (-87.79160214979832 41.8721079742148)","180","Oak Park-Congress","Blue Line","950 S. Oak Park Avenue","false","false","1,131,794.16322138","1,896,451.73249505","Blue Line"
"POINT (-87.65884028505945 41.983504225254826)","1380","Bryn Mawr","Red Line","1119 W. Bryn Mawr Avenue","false","false","1,167,633.60312676","1,937,300.91346109","Red Line"
"POINT (-87.65920227948938 41.99366426103332)","760","Granville","Red Line","1119 W. Granville Avenue","true","false","1,167,506.03909464","1,941,002.51448854","Red Line"
"POINT (-87.67088394357924 41.94370914853046)","1310","Paulina","Brown Line","3411 N. Paulina Street","true","false","1,164,471.22974782","1,922,773.86704756","Brown Line"
"POINT (-87.77678526925513 41.87088639373906)","10","Austin-Congress","Blue Line","1050 S. Austin Blvd","false","false","1,135,832.54120914","1,896,032.40833466","Blue Line"
"POINT (-87.71314203532829 41.96792815152359)","1290","Kimball","Brown Line","4755 N. Kimball Avenue","true","true","1,152,910.87594505","1,931,513.3373917","Brown Line"
"POINT (-87.62802125739587 41.891665201383724)","330","Grand/State","Red Line","521 N. State Street","true","false","1,176,288.17926282","1,903,902.00526999","Red Line"
"POINT (-87.70542795670059 41.854130586664574)","1040","Kedzie-Douglas","Pink Line","1944 S. Kedzie Avenue","true","false","1,155,312.29879529","1,890,060.7219291","Pink Line"
"POINT (-87.71652283291752 41.88490437974896)","1670","Conservatory-Central Park","Green Line (Lake)","3631 W. Lake Street","true","false","1,152,209.0952084","1,901,252.71835552","Green Line"
"POINT (-87.73326365861335 41.85375068701122)","600","Kostner","Pink Line","2019 S. Kostner Avenue","true","false","1,147,729.86397223","1,889,868.06298492","Pink Line"
"POINT (-87.80889493503287 41.982323370406654)","750","Harlem-O'Hare","Blue Line (O'Hare)","5550 N. Harlem Avenue","true","true","1,126,838.69876877","1,936,585.06680443","Blue Line"
